cell_type,8DCIS,8IDC,9DCIS,9IDC,2IDC,3IDC,S8DCIS,S8IDC,S9DCIS,S9IDC
B cell_TIMER,0.124605138,0.10114229,0.099082764,0.102081242,0.105222739,0.097941365,0.087774186,0.096891169,0.09097003,0.098432244
T cell CD4+_TIMER,0.143995161,0.125968305,0.114940353,0.114598281,0.107378854,0.11392663,0.114740838,0.11594828,0.115453491,0.111004213
T cell CD8+_TIMER,0.208388093,0.220283273,0.210894178,0.210342624,0.207448981,0.210799484,0.22148895,0.219578629,0.22064533,0.211726693
Neutrophil_TIMER,0.128401275,0.12646166,0.125077523,0.119178653,0.118363953,0.115400886,0.119981416,0.123551357,0.129336728,0.116782316
Macrophage_TIMER,0.058820425,0.063716757,0.05190438,0.058480436,0.050740308,0.047545723,0.091328115,0.070761149,0.052962757,0.051869829
Myeloid dendritic cell_TIMER,0.495463387,0.494244247,0.48854698,0.488376692,0.496824415,0.507438957,0.491061361,0.51196081,0.505290294,0.499674709
Bcell_all_CIBERSORT,0.305089452,0.114104579,0.287650594,0.187674204,0.192222808,0.308435332,0.095666184,0.171867648,0.194474183,0.281783719
B cell naive_CIBERSORT,0.173429392,0.082901203,0.079386322,0.017621346,0.078876754,0,0.040432297,0.045106956,0.032045426,0.03259447
B cell memory_CIBERSORT,0.115382178,0,0.091512409,0.09798173,0,0.155546229,0.055233886,0.097724236,0.019719152,0.097816205
B cell plasma_CIBERSORT,0.016277882,0.031203376,0.116751862,0.072071128,0.113346054,0.152889103,0,0.029036456,0.142709605,0.151373044
T cell CD8+_CIBERSORT,0.054578175,0.098692633,0,0.040439706,0.020374118,0.065268627,0.055860293,0.077854708,0,0.019906723
T cell CD4+_CIBERSORT,0.216388193,0.14726699,0.18554612,0.109966612,0.285416735,0.251202144,0.130664854,0.071952198,0.211221747,0.138779366
T cell CD4+ naive_CIBERSORT,0,0,0,0.021193545,0,0,0.067357972,0,0.003169479,0.085613604
T cell CD4+ memory resting_CIBERSORT,0.198191583,0.075027694,0.166050318,0.088773067,0.26404997,0.251202144,0,0,0.208052268,0.03745989
T cell CD4+ memory activated_CIBERSORT,0.01819661,0.072239296,0.019495802,0,0.021366765,0,0.063306883,0.071952198,0,0.015705872
T cell follicular helper_CIBERSORT,0.08819456,0.096100722,0,0.056566494,0,0,0,0.079895428,0.058135468,0.020865458
T cell regulatory (Tregs)_CIBERSORT,0,0,0,0,0,0,0,0,0,0
T cell gamma delta_CIBERSORT,0,0,0,0,0,0,0,0.082477984,0,0
NK cell_CIBERSORT,0.054381614,0.034080184,0.025166851,0.047085275,0.058964038,0.037044007,0.083317775,0,0.031837265,0.04957863
NK cell resting_CIBERSORT,0.054381614,0.034080184,0.025166851,0.047085275,0.058964038,0.037044007,0.083317775,0,0.031837265,0.04957863
NK cell activated_CIBERSORT,0,0,0,0,0,0,0,0,0,0
Monocyte_CIBERSORT,0.028689326,0.046977374,0,0.021825546,0.01879861,0.01423308,0.01115863,0,0.02864436,0.016569693
Macrophage_CIBERSORT,0.06032404,0.241472846,0.325933871,0.295446656,0.295146083,0.127470921,0.526561213,0.469157609,0.398566721,0.25193613
Macrophage M0_CIBERSORT,0.009966651,0.066538811,0.064569314,0.08574696,0.086704938,0.015996613,0,0,0.057808791,0
Macrophage M1_CIBERSORT,0.01198792,0.044744499,0,0.008723149,0.039450439,0,0,0.051295614,0.002054084,0
Macrophage M2_CIBERSORT,0.038369469,0.130189535,0.261364557,0.200976546,0.168990706,0.111474308,0.526561213,0.417861996,0.338703846,0.25193613
Myeloid dendritic cell_CIBERSORT,0.110863285,0.01396964,0.04511116,0.008631262,0.044140781,0.030638775,0.012012405,0,0.000474504,0.001840629
Myeloid dendritic cell resting_CIBERSORT,0.08333528,0.00303123,0,0,0.044140781,0.029923595,0,0,0,0.001840629
Myeloid dendritic cell activated_CIBERSORT,0.027528005,0.01093841,0.04511116,0.008631262,0,0.00071518,0.012012405,0,0.000474504,0
Mast cell_CIBERSORT,0.081491357,0.207335032,0.102051176,0.232364245,0.084936827,0.165707114,0.080031666,0.046794425,0.058896478,0.218739651
Mast cell activated_CIBERSORT,0.081491357,0.207335032,0,0.232364245,0.084936827,0.165707114,0.080031666,0.046794425,0,0.218739651
Mast cell resting_CIBERSORT,0,0,0.102051176,0,0,0,0,0,0.058896478,0
Eosinophil_CIBERSORT,0,0,0.02854023,0,0,0,0.00472698,0,0,0
Neutrophil_CIBERSORT,0,0,0,0,0,0,0,0,0.017749274,0
B cell_CIBERSORT-ABS,0.926839744,0.317702945,0.306451286,0.267405075,0.22614448,0.387056103,0.062526918,0.377434836,0.36988227,0.344402323
B cell naive_CIBERSORT-ABS,0.556560991,0.230822956,0.084574971,0.025107539,0.092796181,0,0.026426338,0.099058414,0.060949144,0.039837685
B cell memory_CIBERSORT-ABS,0.370278753,0,0.097493612,0.139607955,0,0.195195268,0.036100579,0.214610087,0.037505053,0.11955314
B cell plasma_CIBERSORT-ABS,0.052238169,0.086879989,0.124382703,0.102689582,0.133348299,0.191860835,0,0.063766334,0.271428073,0.185011498
T cell CD8+_CIBERSORT-ABS,0.175149568,0.274791252,0,0.057619974,0.023969551,0.081905728,0.036509996,0.170975044,0,0.024330439
T cell CD4+ naive_CIBERSORT-ABS,0,0,0,0.030197339,0,0,0.044024818,0,0.006028225,0.104638849
T cell CD4+ memory resting_CIBERSORT-ABS,0.636026582,0.208900639,0.17690328,0.126487115,0.310647023,0.315234063,0,0,0.395707255,0.04578431
T cell CD4+ memory activated_CIBERSORT-ABS,0.058395658,0.201136864,0.020770038,0,0.025137371,0,0.041377048,0.15801267,0,0.019196065
T cell follicular helper_CIBERSORT-ABS,0.2830296,0.26757456,0,0.08059801,0,0,0,0.175456627,0.110571381,0.025502226
T cell regulatory (Tregs)_CIBERSORT-ABS,0,0,0,0,0,0,0,0,0,0
T cell gamma delta_CIBERSORT-ABS,0,0,0,0,0,0,0,0.181128122,0,0
NK cell resting_CIBERSORT-ABS,0.174518774,0.094889924,0.026811743,0.067088823,0.069369456,0.046486597,0.054456062,0,0.06055323,0.060596103
NK cell activated_CIBERSORT-ABS,0,0,0,0,0,0,0,0,0,0
Monocyte_CIBERSORT-ABS,0.092068359,0.130799747,0,0.031097836,0.022116011,0.01786112,0.007293222,0,0.054480449,0.020251847
Macrophage M0_CIBERSORT-ABS,0.031984482,0.185264926,0.06878953,0.122175407,0.10200581,0.02007418,0,0,0.109950053,0
Macrophage M1_CIBERSORT-ABS,0.038471036,0.124582722,0,0.012429063,0.046412281,0,0,0.112649191,0.003906787,0
Macrophage M2_CIBERSORT-ABS,0.123133394,0.36248851,0.278447207,0.286358739,0.198812596,0.139889328,0.344157656,0.917657716,0.644201433,0.307921937
Myeloid dendritic cell resting_CIBERSORT-ABS,0.26743544,0.008439896,0,0,0.051930331,0.037551178,0,0,0,0.002249658
Myeloid dendritic cell activated_CIBERSORT-ABS,0.088341506,0.030455965,0.048059601,0.012298138,0,0.000897481,0.007851245,0,0.000902488,0
Mast cell activated_CIBERSORT-ABS,0.261518016,0.577285776,0,0.331081081,0.099925679,0.207946182,0.052308278,0.102764227,0,0.267348463
Mast cell resting_CIBERSORT-ABS,0,0,0.108721188,0,0,0,0,0,0.112018791,0
Eosinophil_CIBERSORT-ABS,0,0,0.030405604,0,0,0,0.003089529,0,0,0
Neutrophil_CIBERSORT-ABS,0,0,0,0,0,0,0,0,0.033758422,0
B cell_QUANTISEQ,0.074161075,0.020811708,0.043327528,0.03906014,0.023441133,0.029865133,0.020164185,0.032192637,0.021759244,0.030735349
Macrophage M1_QUANTISEQ,0.015368036,0.012209189,0.016411656,0.007651975,0.009066918,0.015139708,0,0.008470534,0.008339403,0
Macrophage M2_QUANTISEQ,0.063413627,0.036217688,0.01719619,0.029352542,0.027350166,0.025603411,0.048280511,0.060772572,0.032981255,0.021433151
Monocyte_QUANTISEQ,0,0,0,0,0,0,0,0,0,0
Neutrophil_QUANTISEQ,0.074030716,0.101223145,0.088050604,0.052378722,0.047856339,0.083638158,0.226822294,0.12162611,0.135649444,0.106928084
NK cell_QUANTISEQ,0.01683397,0.012043587,0.008577243,0.016492369,0.013654354,0.01648915,0.008353648,0.016344952,0.018094091,0.014967574
T cell CD4+ (non-regulatory)_QUANTISEQ,0,0,0,0,0,0,0,0,0,0
T cell CD8+_QUANTISEQ,0.009861514,0.009026983,0,0,0,0,0,0.004289144,0,0
T cell regulatory (Tregs)_QUANTISEQ,0.020256435,0.016981901,0.009012004,0.007149912,0.011561715,0.010596402,0.00535243,0.012276852,0.009269231,0.003275843
Myeloid dendritic cell_QUANTISEQ,0,0,0,0.011145505,0.00632298,0,0,0.008537671,0,0.005837642
uncharacterized cell_QUANTISEQ,0.726074628,0.791485799,0.817424774,0.836768835,0.860746396,0.818668038,0.691026933,0.735489527,0.773907333,0.816822357
Myeloid dendritic cell activated_XCELL,6.76E-18,0.058152042,0,0.008800294,0.037719454,7.17E-22,4.90E-19,0.055579095,0,3.98E-19
B cell_XCELL,0.354940428,0.041287243,0.02461682,0.010928666,0,0,0,2.14E-18,7.17E-18,4.64E-18
Tcell CD4+_XCELL,9.45E-02,8.16E-02,1.22E-01,4.14E-03,6.69E-02,5.27E-03,1.84E-17,5.75E-02,8.31E-03,9.85E-18
T cell CD4+ memory_XCELL,0.01500902,0.006196303,0.008354012,9.29E-20,0,0,9.30E-19,0,0,3.75E-18
T cell CD4+ naive_XCELL,0.02812633,8.63E-19,3.50E-18,0,5.38E-19,0,8.49E-19,0,2.40E-18,0
T cell CD4+ (non-regulatory)_XCELL,9.68E-19,6.31E-19,0,4.82E-18,0,0,1.02E-17,9.22E-19,0,0
T cell CD4+ central memory_XCELL,0.012146786,0,0.090330321,0,9.64E-18,0.004651693,0,3.24E-18,0.008308297,6.81E-19
T cell CD4+ effector memory_XCELL,1.03E-17,0,0.005484776,0,2.91E-18,0,6.19E-18,0,0,0
T cell CD8+ naive_XCELL,0.005322879,0.004952065,0.004927787,0,0,0,0,0.014391803,0,0
T cell CD8+_XCELL,0.015477142,0.033255538,0,0,0,0,1.68E-17,6.62E-19,2.42E-17,0
T cell CD8+ central memory_XCELL,1.53E-19,0.025700583,0,4.35E-18,4.82E-18,9.93E-18,0,2.66E-20,0,8.47E-18
T cell CD8+ effector memory_XCELL,0.016273765,0.009297733,0,1.06E-18,5.31E-18,0,0,0,0,0
Class-switched memory B cell_XCELL,0.098864512,0.001203802,0.063511687,0.036341587,5.90E-19,1.10E-17,0,0.007179137,0,0.001584948
Common lymphoid progenitor_XCELL,0.003760582,0.012968611,0.014711536,0.010378048,0.036624248,0.015654685,0,0,0,0.017392673
Common myeloid progenitor_XCELL,0.003783012,2.48E-18,1.40E-19,3.05E-19,0,0,0,4.90E-18,8.52E-18,1.03E-18
Myeloid dendritic cell_XCELL,0.026502855,0.004570368,0,0,0,0,0,0.007800472,1.15E-19,9.71E-19
Endothelial cell_XCELL,0,0,0,0,0,0.026606137,0.081743918,0.018721942,0.008179996,0
Eosinophil_XCELL,3.95E-20,0.001378751,0.000170384,0,4.51E-19,0,7.88E-18,8.45E-18,4.15E-18,0
Cancer associated fibroblast_XCELL,1.84E-18,0,7.62E-19,6.88E-18,0,0.015398593,0.10277755,0.041643038,0.001123602,0
Granulocyte-monocyte progenitor_XCELL,0.013104738,0.01238623,9.27E-20,0,0,1.45E-17,4.24E-17,0,0,2.57E-19
Hematopoietic stem cell_XCELL,2.85E-18,0,3.57E-19,0.018377024,0.061283821,0.286281329,0.124770496,0.104115932,0.272394388,0.145425369
Macrophage_XCELL,0.008364859,0.031539375,0,0.001764665,0.004841568,0,1.15E-18,0.028012546,0,0
Macrophage M1_XCELL,0,0.016155663,0.001329104,7.12E-20,0.005543469,0,1.08E-19,0.017766539,0,0
Macrophage M2_XCELL,0,0.004722513,0,0.002958604,0,2.91E-20,0.012379592,0.007159255,9.42E-21,0
Mast cell_XCELL,0.010684602,0.008844853,0.008155309,0.003499493,1.61E-19,1.09E-19,0.004358787,0.002715013,5.99E-21,0.004899138
B cell memory_XCELL,0.149339863,0.007981004,0.008086121,5.16E-19,0,2.27E-17,0,3.31E-18,0,3.54E-18
Monocyte_XCELL,1.66E-18,0.004599648,0,0,1.48E-17,0,6.52E-18,2.24E-18,0,4.56E-18
B cell naive_XCELL,0.025033603,0.004392644,1.08E-18,7.58E-19,4.62E-19,0,4.60E-18,1.91E-18,0,0
Neutrophil_XCELL,2.21E-18,0,0.000445707,0,2.46E-18,0,4.89E-19,0,1.21E-19,1.27E-18
NK cell_XCELL,0,0,0,2.21E-18,6.16E-18,1.14E-17,7.83E-19,7.53E-19,0,1.75E-18
T cell NK_XCELL,0.00445361,4.30E-18,0.001818348,0.001390741,0.011748617,0.012570669,0.077221621,0.014801649,1.10E-18,0
Plasmacytoid dendritic cell_XCELL,0,0.007001648,0.012522584,5.86E-19,0,2.94E-18,0,3.25E-18,0,0
B cell plasma_XCELL,0.019743248,0.025251056,0.003336334,0.006874656,0.017276126,8.58E-20,1.83E-18,0.010538368,0,0.004276585
T cell gamma delta_XCELL,0.006274986,0.012344754,0,0,0,2.22E-18,2.18E-17,0,0,0
T cell CD4+ Th1_XCELL,4.87E-18,0,2.66E-19,0.00413912,0.066874728,0.000615147,0,0,1.31E-18,5.03E-19
T cell CD4+ Th2_XCELL,0.039191511,0.075362328,0.017988525,2.02E-19,0,1.05E-18,0,0.043876273,1.18E-18,3.15E-18
T cell regulatory (Tregs)_XCELL,1.66E-18,0,2.13E-18,0,6.04E-18,4.56E-18,2.22E-19,0.013583091,3.56E-18,1.77E-18
immune score_XCELL,0.277313258,0.083650517,0.022258813,0.010795216,0.003227712,7.65E-18,0.002905858,0.025685354,2.38E-17,0.003266092
stroma score_XCELL,9.18E-19,1.75E-19,0.001760717,3.44E-18,9.31E-20,0.021842926,0.123204978,0.043455586,0.016910116,0.006175381
microenvironment score_XCELL,0.277313258,0.083650517,0.024019529,0.010795216,0.003227712,0.021842926,0.126110836,0.06914094,0.016910116,0.009441473
B cell_EPIC,0.061903516,0.003566064,0.008555972,0.007674205,0.000180365,0.002161628,0.000120708,0.007510191,0.000114099,0.003410152
Cancer associated fibroblast_EPIC,0.184335468,0.177376803,0.035058602,0.169913057,0.247998446,0.063747067,0.201324943,0.328369294,0.048810154,0.068171362
T cell CD4+_EPIC,0.146518033,0.096304764,0.167537926,0.0698961,0.059614016,0.107051935,0.034459616,0.024536491,0.129192851,0.115552182
T cell CD8+_EPIC,0.004011049,0.021094024,0.013498797,0.003234122,4.02E-06,0.007317304,0.043171552,0.007508293,0.018928091,0.017621136
Endothelial cell_EPIC,0.05478706,0.072177219,0.035787544,0.044594827,0.037502928,0.08767974,0.135384446,0.078792175,0.077584015,0.066203066
Macrophage_EPIC,0.004165434,0.007481513,0.001150248,0.002420603,0.003920222,0.001693315,0.006818981,0.006519534,0.00266209,0.002100773
NK cell_EPIC,5.99E-09,1.23E-08,1.69E-11,3.65E-09,5.61E-09,2.91E-10,7.73E-09,4.06E-08,3.27E-10,4.61E-11
uncharacterized cell_EPIC,0.544279433,0.6219996,0.738410911,0.702267084,0.650779995,0.730349011,0.578719747,0.546763982,0.7227087,0.726941328
T cell_MCPCOUNTER,9.366666667,6.726666667,4.266,2.786666667,2.304,3.100666667,3.560666667,3.854,2.31,2.584666667
T cell CD8+_MCPCOUNTER,2.11,2.01,1.69,0.18,0.41,0.78,0,0.66,0.27,0.3
cytotoxicity score_MCPCOUNTER,3.454285714,4.954285714,0.69,1.371428571,1.701428571,1.13,1.268571429,3.16,1.125714286,0.764285714
NK cell_MCPCOUNTER,1.065714286,1.367142857,0.744285714,0.787142857,0.461428571,1.055714286,1.885714286,0.222857143,3.34,1.161428571
B cell_MCPCOUNTER,310.5911111,896.9922222,69.72,282.4755556,15.98888889,307.4611111,13.84555556,619.0533333,185.9155556,151.1955556
Monocyte_MCPCOUNTER,23.50428571,26.47714286,13.54428571,11.28428571,10.28857143,7.918571429,33.93428571,40.11571429,15.44428571,10.42714286
Macrophage/Monocyte_MCPCOUNTER,23.50428571,26.47714286,13.54428571,11.28428571,10.28857143,7.918571429,33.93428571,40.11571429,15.44428571,10.42714286
Myeloid dendritic cell_MCPCOUNTER,12.352,4.464,0.516,2.436,1.592,3.048,5.166,2.504,3.454,3.242
Neutrophil_MCPCOUNTER,11.94133333,8.402666667,11.62666667,9.51,6.616666667,9.197333333,8.58,8.800666667,18.27333333,11.16066667
Endothelial cell_MCPCOUNTER,12.46483871,11.03548387,8.725483871,8.194193548,6.411935484,14.18806452,30.68322581,17.80967742,14.77354839,11.39419355
Cancer associated fibroblast_MCPCOUNTER,554.86,459.755,154.8325,490.21375,622.96125,386.48125,647.8075,908.515,251.275,289.40375